Frame,Sub Frame,"Position - max4",,,"Rotation (Helical) - max4",,
,,"TX","TY","TZ","RX","RY","RZ"
Frames,Frames,"mm","mm","mm","°","°","°"
333,0,"-114.538","-341.553","869.447","3.97068","-10.8754","0.0836514"
334,0,"-115.045","-342.551","867.021","4.38404","-11.1318","0.0856977"
335,0,"-115.495","-343.492","864.602","4.77781","-11.4038","0.094744"
336,0,"-116.019","-344.5","862.089","5.15587","-11.7355","0.0958409"
337,0,"-116.583","-345.555","859.519","5.50903","-12.1394","0.0945232"
338,0,"-117.156","-346.651","856.889","5.84784","-12.5906","0.080891"
339,0,"-117.775","-347.824","854.21","6.16608","-13.1242","0.0534991"
340,0,"-118.418","-349.153","851.412","6.49728","-13.6673","0.0100427"
341,0,"-119.045","-350.561","848.545","6.84769","-14.1914","-0.0446091"
342,0,"-119.672","-352.028","845.573","7.21941","-14.6909","-0.110047"
343,0,"-120.29","-353.612","842.436","7.60518","-15.1873","-0.176778"
344,0,"-120.833","-355.279","839.182","8.02553","-15.6262","-0.25272"
345,0,"-121.34","-357.033","835.832","8.46632","-16.0452","-0.333773"
346,0,"-121.821","-358.936","832.369","8.92851","-16.4639","-0.413662"
347,0,"-122.262","-360.985","828.796","9.43003","-16.8417","-0.501691"
348,0,"-122.636","-363.11","825.175","9.97081","-17.1839","-0.593241"
349,0,"-123.015","-365.489","821.287","10.52","-17.5954","-0.679663"
350,0,"-123.336","-367.874","817.347","11.0861","-18.0134","-0.769491"
351,0,"-123.644","-370.469","813.162","11.6682","-18.4767","-0.855147"
352,0,"-123.96","-373.086","808.895","12.2185","-19.0599","-0.934535"
353,0,"-124.308","-376.456","804.247","12.8049","-19.575","-1.03872"
354,0,"-124.882","-379.7","799.914","13.4711","-20.2138","-1.0494"
355,0,"-125.159","-382.745","795.332","14.0604","-20.9062","-1.11147"
356,0,"-129.647","-383.435","788.079","13.9579","-21.5928","0.297199"
357,0,"-130.191","-386.474","783.278","14.4159","-22.5061","0.349725"
358,0,"-130.701","-389.529","778.606","14.8662","-23.4476","0.409906"
359,0,"-130.797","-392.851","774.146","15.3057","-24.4099","0.345084"
